"lang","source"
"Other","brasilia"
"English","wilfredlaur"
"English","ubc"
"English","toronto"
"Chinese","ouhk"
"Chinese","hkust"
"Chinese","cas"
"Chinese","zhejiang"
"Chinese","hunancomp"
"Chinese","henan"
"Other","purkyne"
"Dutch","leuven"
"Dutch","vuamsterdam"
"Dutch","tilburg"
"Dutch","eindhoven"
"Dutch","tilburgcaf"
"Dutch","tilburgcomm"
"English","navarra"
"Other","lausanne"
"Other","poitiers"
"Other","elte"
"English","mturk_india"
"English","winchester"
"Other","doshisha"
"English","vuw"
"Other","wroclaw"
"Other","swps"
"Other","badaniaon"
"Other","uniporto"
"Other","unibelgrade"
"Other","fmkbelgrade"
"English","johannesburg"
"English","johannesburgother"
"Other","udd"
"Other","santiagoon"
"Other","ucron"
"Other","unam"
"Other","pscio"
"Other","lundon"
"Chinese","ntnu"
"Other","bilgi"
"Other","koc"
"English","aus"
"English","hawaiion"
"English","washlee"
"English","plu"
"English","wpi"
"English","sandiegosu"
"English","uiuc"
"English","tufts"
"English","ufl"
"English","uva"
"English","bc"
"English","ithaca"
"English","marian"
"English","williampat"
"English","psuabington"
"English","occid"
"English","umich"
"English","tamu"
"English","psumain"
"English","mturk"
"Other","grazvienna"
"Other","potsdam"
