"lang","comp","sex","mean_age","source","var_hh","var_em","var_ex","var_ag","var_co","var_ox","var_facets_hh","var_facets_em","var_facets_ex","var_facets_ag","var_facets_co","var_facets_ox"
"Other","Course Credit",0.825688073394495,20.5688073394495,"Aczel",0.314060482500849,0.498306507442021,0.587059123343527,0.42118246687054,0.401578321440707,0.37581209650017,0.310550930645222,0.505681872812584,0.582982040718088,0.422711495261827,0.390672487918602,0.397198979688149
"English","Course Credit",0.794117647058823,20.4607843137255,"Birt",0.387875247524752,0.49036303630363,0.352053465346535,0.285419801980198,0.408787614055523,0.530194059405941,0.376904565456546,0.498175414967967,0.348041804180418,0.31114652090209,0.385007664369378,0.548628300330033
"English","Course Credit",0.727272727272727,20.8363636363636,"Evans",0.421031260618417,0.420551930876389,0.391470640098748,0.478945512255334,0.300327984482455,0.371687533062952,0.406301322346812,0.414727585767746,0.38313501684986,0.49565558935324,0.261817303901773,0.389286256588099
"Other","Other",0.780952380952381,19.3142857142857,"Ferreira-Santos",0.362546534653465,0.42573869151621,0.546388079984469,0.35929900990099,0.340332673267327,0.341703788311441,0.357896383388339,0.405387337140577,0.569765478386074,0.376739892739274,0.305313531353135,0.361416822662182
"English","Course Credit",0.805309734513274,18.6017699115044,"Gonzalez-Iraizoz",0.436547619047619,0.480022522522522,0.596252252252252,0.400674871299871,0.405537294563843,0.461846042471042,0.407040829892392,0.504441383347633,0.600278403403403,0.407362161268411,0.370526776776777,0.492209704123767
"German","Course Credit",0.540322580645161,21.6209677419355,"Holzmeister",0.390645075303212,0.350136375557304,0.476873852609494,0.321442433779176,0.362629819040126,0.341206399160766,0.393651104373066,0.370649022350439,0.472888232326544,0.336197597947082,0.351993340581927,0.360754600489553
"Other","Course Credit",0.820143884892086,22.2805755395683,"klein Selle & Rozmann",0.369036492374728,0.382361528553027,0.352369825708061,0.417596790483672,0.339758480034349,0.476287037037037,0.354836809337933,0.382263675695339,0.344531344559429,0.444155417305702,0.341310387445733,0.4997757050351
"Other","Other",0.540322580645161,21.6129032258065,"Koppel",0.362820111095286,0.515560224089636,0.494240896358543,0.334915254237288,0.433449651046859,0.290372826407309,0.360826251404517,0.527220349945534,0.503255816215375,0.347760290556901,0.390457842741616,0.295446916854963
"Other","Other",0.912280701754386,19.1842105263158,"Laine",0.365667430788221,0.397060401523018,0.337164420485175,0.376721183800623,0.339199962658701,0.453311769991015,0.363139584435432,0.424526340333064,0.329481911999601,0.391679646936656,0.344219310233351,0.477570161974643
"German","Course Credit",0.692982456140351,21.0614035087719,"Loschelder",0.346162635529608,0.380134216785593,0.290485898742779,0.251286102616378,0.29868501529052,0.401931609674729,0.340022356593458,0.400855844376487,0.297579060010571,0.249403893891343,0.268817764804003,0.420107033639144
"English","Other",0.625,20.6770833333333,"McCarthy",0.315019100793418,0.514137254901961,0.398686730506156,0.382703496914487,0.232262709374082,0.497034969144872,0.292011031932608,0.525422599595394,0.394808529031768,0.401902834916903,0.203621906324485,0.514771484311229
"English","Course Credit",0.773809523809524,20.1369047619048,"Meijer",0.350108271634424,0.378779234721264,0.352271453457548,0.247185141509434,0.42139751552795,0.308096289091725,0.343531897672691,0.393502277006705,0.349778985415773,0.257284023410203,0.400986685155365,0.317751456847391
"Other","Course Credit",0.923076923076923,19.8269230769231,"Ozdogru",0.296381013745704,0.367680412371134,0.370076272933416,0.358342099726489,0.33134546602146,0.365631180307174,0.303330976756396,0.370435813930383,0.369405148423006,0.392541004803983,0.291977873623676,0.376118628293242
"German","Course Credit",0.825,20.25,"Suchotzki",0.277645634524996,0.264134738641219,0.382112234724398,0.374576995509199,0.354744338413331,0.363340576560916,0.273678715836617,0.263346864169397,0.377597613904319,0.382051206600995,0.347259807877953,0.365069861936034
"English","Course Credit",0.528925619834711,20.6363636363636,"Sutan",0.175789773536533,0.186309917355372,0.222327731092437,0.135266550775025,0.194205417934231,0.260796755034043,0.176543039532197,0.19432439929599,0.223520536686897,0.14060073015758,0.198485184581583,0.275098286574275
"Dutch","Other",0.747826086956522,20.4086956521739,"Vanpaemel",0.380989254108723,0.53275600505689,0.479832490518331,0.385032175032175,0.519646017699115,0.511885271807838,0.370522270947465,0.545650558803905,0.463820410169968,0.385682557557558,0.452177381830313,0.520619886044388
"Dutch","Course Credit",0.729323308270677,19.6315789473684,"Verschuere",0.324762317834837,0.416585782638414,0.408801179736294,0.340421003932454,0.41620984278879,0.387368173810922,0.305055464794253,0.424382254563176,0.407594853593184,0.351290718090575,0.394996329206855,0.421884378873883
"English","Other",0.4125,19.05,"Wick",0.286028122415219,0.441139147476727,0.430988833746898,0.338674486803519,0.341750775763515,0.468031017369727,0.281977400399779,0.45372227552761,0.432694892473118,0.34814199017828,0.314028179854793,0.480196199223417
"English","Course Credit",0.601626016260163,20.8943089430894,"Wiggins",0.352073002754821,0.45468870523416,0.527833333333333,0.3475,0.287948879551821,0.440666666666667,0.358116199877564,0.479891241965106,0.526738980716253,0.357986111111111,0.272583547307812,0.458967994337313
