"CVT" "CVE" "rel" "varT.M" "SE_T.M" "varE.M" "SE_E.M" "rel.M" "ase.M" "varT.MAE" "varE.MAE" "rel.MAE" "tau_T" "tau_E" "tau_rel" "p_T" "p_E" "p_rel" "tau_rel_cT" "tau_rel_cE" "tau_rel_cTE"
0 0 0.1 1 1.44330858477085 9 0.399299858370163 0.1 0.134164078649987 0.999999999999999 8.99999999999998 0.0999999999999999 0 0 0 1 1 NA 0 0 0
0.1 0 0.1 1 1.43927472687393 9 0.399032593074238 0.0999109337806359 0.134177355858054 1.00072455769116 9 0.100089091179974 0 0 0 1 1 NA 0 0 0
0.2 0 0.1 1 1.46904711563743 9 0.401176956502832 0.0996439286725706 0.134217158629519 0.992280665667733 9 0.100356258921467 0 0 0 1 1 NA 0 0 0
0.3 0 0.1 1 1.44930966580769 9 0.400774780434194 0.0991968345834936 0.13428380748122 0.979499689027192 8.99999999999999 0.100801186143147 0 0 0 1 1 NA 0 0 0
0 0.1 0.1 0.999999999999999 1.42835885358979 9 0.400667115015579 0.100806481633028 0.134043855466384 0.999999999999998 8.9648023048605 0.100989618799327 0 0.801105206683709 0 1 5.46354362127667e-58 NA 0 0 0
0.1 0.1 0.1 1 1.4383761477723 9 0.395447208713353 0.100728888361478 0.134055422388369 0.995409610298423 8.96406933714861 0.101101864425337 0 0.819564718181975 0 1 2.50750064284417e-69 NA 0 0 0
0.2 0.1 0.1 1 1.46098533652058 9 0.396551306535364 0.10052785049241 0.134085391344455 1.00016291041348 8.96460661923096 0.101471638581242 0 0.800395512043855 0 1 2.60170347433544e-58 NA 0 0 0
0.3 0.1 0.1 1 1.45070857643717 9 0.398391381133878 0.100149836758353 0.13414174230484 0.982045631629506 8.9621110978798 0.102061114215723 0 0.802827737137106 0 1 1.30260744674053e-59 NA 0 0 0
0 0.2 0.1 0.999999999999998 1.41828393632551 9 0.391113626491756 0.10356151275561 0.133633159675036 0.999999999999999 8.9664387232193 0.104537578905372 0 1.75142440073609 0 1 0 NA 0 0 0
0.1 0.2 0.1 1 1.409908362896 9 0.390266273427825 0.102861056174789 0.133737577577036 0.987804850044865 8.9656528323049 0.103705108256752 0 1.73579785073627 0 1 0 NA 0 0 0
0.2 0.2 0.1 1 1.44946302898662 9 0.397685228147985 0.103137568138681 0.133696357607179 0.983863537842159 8.96918735934659 0.104723488650548 0 1.75911281425495 0 1 0 NA 0 0 0
0.3 0.2 0.1 1 1.46467786151703 9 0.395403177529617 0.103743602993582 0.133606015265026 1.00336772994908 8.96834592168679 0.107447730058334 0 1.76313616430823 0 1 0 NA 0 0 0
0 0.3 0.1 0.999999999999998 1.44650984944227 9 0.399421664733813 0.109637798750284 0.132727360439381 0.999999999999998 8.96241501328073 0.114694119618418 0 2.65541334771287 0 1 0 NA 0 0 0
0.1 0.3 0.1 1 1.45961543230851 9 0.401125501236636 0.1123236548727 0.132326976648214 NA NA NA NA NA NA NA NA NA NA NA NA
0.2 0.3 0.1 1 1.43655704892771 9 0.401015457512038 0.110100252440219 0.132658421913572 1.00219882608491 8.96435966051071 0.120596349544548 0 2.66548700757151 0 1 0 NA 0 0 0
0.3 0.3 0.1 1 1.45710809339154 9 0.393018284421756 0.108264603203564 0.132932064345305 0.957415912223379 8.96422214990422 0.11370713746605 0 2.65403251336614 0 1 0 NA 0 0 0
0 0 0.3 3 1.43566939756827 7 0.309203226199331 0.3 0.10434983894999 3 7 0.3 0 0 0 1 1 NA 0 0 0
0.1 0 0.3 3 1.4446951620336 7 0.311573747969116 0.299379639228212 0.104442316873743 2.98088490396468 7 0.300623144778003 0 0 0 1 1 NA 0 0 0
0.2 0 0.3 3 1.40306080623662 7 0.310685655411292 0.297489406310157 0.104724096160282 2.93768660277306 6.99999999999999 0.30248594010945 0 0 0 1 1 NA 0 0 0
0.3 0 0.3 3 1.4457602488281 7 0.310356169238733 0.294195335623327 0.105215147225511 2.8191988714274 7 0.305568645035461 0 0 0 0.999999843080488 1 NA 0 0 0
0 0.1 0.3 3 1.41940722035489 7 0.312332646103746 0.301512452054096 0.104124375909612 3 6.9719321908953 0.302928277219835 0 0.63787001907986 0 1 1.36803232504987e-68 NA 0 0 0
0.1 0.1 0.3 3 1.42065394162633 7 0.30836866621725 0.300861716470096 0.104221381843026 2.98741669991214 6.97509072924162 0.303551508430172 0 0.622837529200647 0 1 1.04921097908108e-58 NA 0 0 0
0.2 0.1 0.3 3 1.39122713153974 7 0.310118306588222 0.298925277075654 0.104510049184378 2.92774342068867 6.97333092915428 0.305553925250439 0 0.619088940137937 0 1 1.24045456846565e-55 NA 0 0 0
0.3 0.1 0.3 3 1.44192706502989 7 0.309685814462539 0.295442951465071 0.105029163636715 2.81912698178722 6.97243053975965 0.306937600207569 0 0.627897261264584 0 0.999999857428056 6.92019068598281e-61 NA 0 0 0
0 0.2 0.3 3 1.40753721782278 7 0.306834178982376 0.306075579071251 0.103444145096257 3 6.97222981015437 0.312262192728533 0 1.357218331401 0 1 0 NA 0 0 0
0.1 0.2 0.3 3 1.41704074123893 7 0.301582570046112 0.30624988116184 0.103418161674712 2.99724262457129 6.97646007990781 0.316572156246723 0 1.37356260410239 0 1 0 NA 0 0 0
0.2 0.2 0.3 3 1.39770114707236 7 0.306246265635184 0.303658580801051 0.103804449925168 2.92783604792604 6.97450153443629 0.31632351583744 0 1.36289636335697 0 1 0 NA 0 0 0
0.3 0.2 0.3 3 1.42988513948 7 0.31219231572512 0.299799278851772 0.104379760692121 2.83045441103893 6.97276976393215 0.318608899040346 0 1.36921525100223 0 0.999998554647479 0 NA 0 0 0
0 0.3 0.3 3 1.44119746460704 7 0.306340252246275 0.316291005072576 0.101921319299052 NA NA NA NA NA NA NA NA NA NA NA NA
0.1 0.3 0.3 3 1.39374004047794 7 0.308688958679474 0.313350621915466 0.102359645740331 2.97761298997373 6.97254571340471 0.331608454486456 0 2.06671575591629 0 1 0 NA 0 0 0
0.2 0.3 0.3 3 1.43259239824358 7 0.311849951987489 0.312517902208336 0.102483780265088 NA NA NA NA NA NA NA NA NA NA NA NA
0.3 0.3 0.3 3 1.41093140102062 7 0.306329324900083 0.308705626319061 0.103052080800915 2.81187669917474 6.97250257178361 0.332095003454454 0 2.0690908391424 0.0511391472967818 0.999985811253211 0 NA 0 0 0
0 0 0.5 5 1.4186980997877 5 0.223723647514283 0.5 0.074535599249993 5 5 0.5 0 0 0 1 1 NA 0 0 0
0.1 0 0.5 5 1.4102056074303 5 0.220186293912085 0.498741525175677 0.0747232016003369 4.9585137339692 5.00000000000001 0.501234444749246 0 0 0 1 1 NA 0 0 0
0.2 0 0.5 5 1.39453799838716 5 0.221778836218275 0.495085363211149 0.0752682300462992 4.86029761488658 5 0.504901475393603 0 0 0 0.999974707378718 1 NA 0 0 0
0.3 0 0.5 5 1.39611078056131 5 0.221981780566784 0.487834927473195 0.076349061191403 4.66234288440744 4.99999999999999 0.510881769507607 0.845595275876745 0 0.0018847610629566 0.0154050652966927 1 NA 0 0.0018847610629566 0
0 0.1 0.5 5 1.41551753741748 5 0.217227222255493 0.501268991107234 0.0743464292247518 5 4.98243914088534 0.504044104653816 0 0.45738147261881 0 1 9.07702629354972e-73 NA 0 0 0
0.1 0.1 0.5 5 1.40896018393994 5 0.219473784455384 0.500011787775853 0.0745338420321189 4.92726075860524 4.98001221929549 0.504344195093839 0 0.450097122382623 0 1 1.56078427978752e-68 NA 0 0 0
0.2 0.1 0.5 5 1.40315359808497 5 0.220812591377401 0.496139527057448 0.075111084578316 4.75342941821887 4.98089057922428 0.509054550669714 0 0.447366803338024 0 0.999899158944668 4.63849011207767e-61 NA 0 0 0
0.3 0.1 0.5 5 1.40783062275533 5 0.222593745950112 0.488929659740965 0.0761858681402101 4.72756279389947 4.9777038986451 0.512532326905922 0.950444880702566 0.45043492785196 0.0250328783709336 0.00273403065164117 4.63525333704866e-65 NA 0 0.00125857266756286 0
0 0.2 0.5 5 1.39785665011126 5 0.221425438977376 0.505219175649494 0.073757570480741 5 4.98008420376868 0.518520691042238 0 0.977242327537698 0 1 0 NA 0 0 0
0.1 0.2 0.5 5 1.40400105533217 5 0.223508187668689 0.504287191097206 0.073896502534934 NA NA NA NA NA NA NA NA NA NA NA NA
0.2 0.2 0.5 5 1.39613722915106 5 0.219030457110328 0.499607987955903 0.074594036955233 NA NA NA NA NA NA NA NA NA NA NA NA
0.3 0.2 0.5 5 1.39507812966922 5 0.221469626283298 0.492996594488018 0.0755796053032456 4.73662039582608 4.98132218475765 0.514090607832867 0.888985228873837 0.972972529327804 0.0635042078825087 0.00662241406348347 0 NA 0 0.0198022101546166 0
0 0.3 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
0.1 0.3 0.5 5 1.41100848977791 5 0.220531738201244 0.510274164981337 0.0730040171626385 NA NA NA NA NA NA NA NA NA NA NA NA
0.2 0.3 0.5 5 1.42467119405967 5 0.220008461928239 0.507514550194222 0.0734153962463521 4.79922374784465 4.98057637603878 0.525580012549762 0 1.47909685761314 0.0784793025430299 0.999968054833497 0 NA 0.0711979494024033 0 0
0.3 0.3 0.5 5 1.37547642402311 5 0.221008928218854 0.500805458784976 0.0744155285435742 NA NA NA NA NA NA NA NA NA NA NA NA
0 0 0.7 7 1.38476226022414 3 0.132643349236502 0.7 0.0447213595499958 7.00000000000001 3 0.7 0 0 0 1 1 NA 0 0 0
0.1 0 0.7 7 1.38369203916977 3 0.133634586402101 0.69852016226306 0.0449419607350269 6.914413417434 3 0.701448274420785 0 0 0 0.999999999999988 1 NA 0 0 0
0.2 0 0.7 7 1.38526467678382 3 0.13475518774167 0.693762552828847 0.0456511832753799 6.68388900608759 3 0.705710395485991 0.747934106577874 0 0 0.0798872914342689 1 NA 0 0 0
0.3 0 0.7 7.00000000000001 1.40768066395548 3 0.131771630970034 0.685876342400581 0.0468267901155447 6.62929764291383 3 0.701785689434693 1.52233060040937 0 0.0401408530060615 2.84253155080829e-13 1 NA 0 0.0401408530060615 0
