"reliability","StandardError","source"
0.725873926301858,0.0416540495844918,"Aczel"
0.72400523442952,0.0437283973052228,"Birt"
0.553053949337064,0.0661398107039982,"Evans"
0.559222306802822,0.0685932341273188,"Ferreira-Santos"
0.678529478875348,0.0491797110117705,"Gonzalez-Iraizoz"
0.696844920391357,0.042935945537784,"Holzmeister"
0.679548437317713,0.0427906510524979,"klein Selle & Rozmann"
0.701394696073229,0.041683921467158,"Koppel"
0.574258269779423,0.0632719871997071,"Laine"
0.628721632034899,0.0534040003092747,"Loschelder"
0.433503639120411,0.0941224407560341,"McCarthy"
0.733119116021546,0.0324099311647622,"Meijer"
0.533231807698652,0.0727318293747417,"Ozdogru"
0.697791816676541,0.0416105502222063,"Suchotzki"
0.519860820742876,0.0672794749061431,"Sutan"
0.732451576393883,0.0398553786080032,"Vanpaemel"
0.709617829122003,0.0396765077441954,"Verschuere"
0.705708755813833,0.0366407993974167,"Wick"
0.569779180556129,0.0609327675894605,"Wiggins"
