"reliability","StandardError","source"
0.623826150754694,0.0574525865954333,"Aczel"
0.731844981011163,0.0428941863497191,"Birt"
0.538510668338743,0.0719157546859627,"Evans"
0.658010447329444,0.0532920358581556,"Ferreira-Santos"
0.747061041137312,0.0372134758871205,"Gonzalez-Iraizoz"
0.585251011479775,0.05776052714578,"Holzmeister"
0.67658351286524,0.043899402869981,"klein Selle & Rozmann"
0.506804692011162,0.0705662831312215,"Koppel"
0.731903775453163,0.0404713394680714,"Laine"
0.718558688163795,0.0413911659724612,"Loschelder"
0.702304585848524,0.0493302290975144,"McCarthy"
0.579954698182652,0.0511267620573211,"Meijer"
0.546446432012107,0.0722353235037338,"Ozdogru"
0.696296161527973,0.0450852756351659,"Suchotzki"
0.506462053077738,0.0710176520446244,"Sutan"
0.691307754948251,0.0466637179844269,"Vanpaemel"
0.61849828538387,0.0509725868889839,"Verschuere"
0.679487022020367,0.0396503364479504,"Wick"
0.626197475157144,0.054602668759467,"Wiggins"
