"reliability","StandardError","source"
-1.28438340913639,0.146176336551172,"Aczel_no cheat"
-1.27096718882788,0.144112567055706,"Aczel_cheat"
-1.79421861844362,0.148331386496662,"Birt_no cheat"
-1.61690038218344,0.149071198499986,"Birt_cheat"
-1.15152604319246,0.143443827637312,"Evans_cheat"
-1.35626871001253,0.136653343615131,"Evans_no cheat"
-1.295717411152,0.146884216413077,"Ferreira-Santos_cheat"
-1.51472311131476,0.146176336551172,"Ferreira-Santos_no cheat"
-1.61272922542051,0.14149211999267,"Gonzalez-Iraizoz_cheat"
-1.42332382861829,0.149822191658498,"Gonzalez-Iraizoz_no cheat"
-1.09215530373303,0.134962721696486,"Holzmeister_cheat"
-1.05783920605272,0.136082763487954,"Holzmeister_no cheat"
-1.50743818323226,0.125097770840134,"klein Selle & Rozmann_no cheat"
-1.45587812283426,0.127360119983478,"klein Selle & Rozmann_cheat"
-1.37219512256772,0.14213381090374,"Koppel_no cheat"
-1.03083494661987,0.134962721696486,"Koppel_cheat"
-1.4201154352813,0.140859042454753,"Laine_cheat"
-1.36336728798814,0.143443827637312,"Laine_no cheat"
-1.47396267741046,0.152145154862546,"Loschelder_no cheat"
-1.41419203576869,0.140859042454753,"Loschelder_cheat"
-1.11892045744538,0.136082763487954,"McCarthy_no cheat"
-1.52023231995136,0.153755201338148,"McCarthy_cheat"
-1.19564041224741,0.115701689083437,"Meijer_cheat"
-1.15208156744309,0.115701689083437,"Meijer_no cheat"
-1.13179719216215,0.130244110860761,"Ozdogru_no cheat"
-1.06073828210551,0.147602480923349,"Ozdogru_cheat"
-1.30476936265702,0.13723116159877,"Suchotzki_no cheat"
-1.35915200257142,0.13723116159877,"Suchotzki_cheat"
-0.934366778269041,0.136653343615131,"Sutan_cheat"
-1.05532872543627,0.112048774242136,"Sutan_no cheat"
-1.57965472579846,0.14023438730389,"Vanpaemel_cheat"
-1.32072806114401,0.14213381090374,"Vanpaemel_no cheat"
-1.41705488699531,0.130744090092123,"Verschuere_no cheat"
-1.31353998757731,0.130244110860761,"Verschuere_cheat"
-1.52879099935305,0.11859467782747,"Wick_cheat"
-1.41114347738132,0.113665723245079,"Wick_no cheat"
-1.30250278961068,0.135519271363624,"Wiggins_cheat"
-1.49380596052272,0.139009609371383,"Wiggins_no cheat"
