"","HH","EM","EX","AG","CO","OX"
"Aczel",0.0682658654994217,0.0651916822359335,0.082812156106817,0.0517498389603712,0.0603117211632748,0.0526149249995707
"Birt",0.052064535507342,0.0727896559971623,0.0507042031893125,0.0337619837669752,0.0555426608706399,0.0630745282714809
"Evans",0.0562108498862268,0.0511698399345192,0.0506455821341902,0.0639812488176448,0.0411993264756647,0.0513596806099963
"Ferreira-Santos",0.0634183104712146,0.0526780493801344,0.0659036678763032,0.052720501510145,0.0433698436621191,0.0492092712161293
"Gonzalez-Iraizoz",0.0515897596353595,0.063067340706303,0.0719494486234417,0.0479432469211389,0.0491020485652262,0.0432733341315614
"Holzmeister",0.0465127398972099,0.0460071952119003,0.0583829188882577,0.0384596255494453,0.0384336781313073,0.041052169824263
"klein Selle & Rozmann",0.0398754278445212,0.0444034245246518,0.0398344240955066,0.0479507913943888,0.0385138472005849,0.0482951298511935
"Koppel",0.0615616499969545,0.0663968841855942,0.0539607937801403,0.0363812874774179,0.0588956206618106,0.0489531876773291
"Laine",0.056085664344978,0.0614967773257864,0.0457822564485647,0.0501919105495345,0.0446236278082915,0.0519535705311944
"Loschelder",0.0460613603996744,0.0413395123242805,0.0379481305599467,0.0372882756893881,0.0397704599111298,0.0474050138036
"McCarthy",0.046053500484329,0.0766046683899582,0.0722535955777124,0.0497808374675642,0.0342773602692889,0.0677807987209223
"Meijer",0.0371242431548481,0.0411217944176497,0.0366732923913805,0.0264871311549506,0.0436094279868608,0.0315996748580051
"Ozdogru",0.0490509783004061,0.0559357522026734,0.0530681392695564,0.0595207124216695,0.0381654153484946,0.0459379656797206
"Suchotzki",0.036200491854348,0.0381016628748018,0.0575826966814097,0.0431756530212933,0.0472525983688303,0.0432243935067163
"Sutan",0.0293681695072129,0.0291530028542369,0.0358299881908658,0.0187024286345727,0.0267497026358612,0.034865835717203
"Vanpaemel",0.0473804266240708,0.0623941038801682,0.0564997208708597,0.0502973858127913,0.0626112270650987,0.0590164651625909
"Verschuere",0.0340998940904041,0.047626000530583,0.0558110400244088,0.0419769139962613,0.0467748639155546,0.0451247098339541
"Wick",0.0330117380160213,0.0442183646110146,0.0491591009677193,0.0359503494922878,0.0356020087662771,0.044651186424268
"Wiggins",0.0457159093126619,0.0483186930409831,0.0595442826947086,0.0533253192737278,0.0323635782040237,0.0556684106275776
